stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
5490,同亨,2,NULL,0,0,37.1,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
5491,連展,2,NULL,0,0,9.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5493,三聯,2,NULL,0,0,28.65,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5498,凱崴,2,NULL,0,0,7.18,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5505,和旺,2,NULL,0,0,17,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
5506,長鴻,2,NULL,0,0,8.47,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5508,永信建,2,NULL,0,0,67.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5511,德昌,2,NULL,0,0,26.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5512,力麒,2,NULL,0,0,12.85,2013-09-13 00:00:00.000,NULL,NULL,3.1a,N
5514,三豐,2,NULL,0,0,24.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5515,建國,1,NULL,0,0,13.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5516,雙喜,2,NULL,0,0,13.55,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5519,隆大,2,NULL,0,0,29.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5520,力泰,2,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5521,工信,2,NULL,0,0,13.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5522,遠雄,1,NULL,0,0,55,2013-09-13 00:00:00.000,NULL,NULL,3.1a;4.2,N
5523,宏都,2,NULL,0,0,12.2,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5525,順天,1,NULL,0,0,19.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5529,志嘉,2,NULL,0,0,29,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5530,龍巖,2,NULL,0,0,91.3,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
5531,鄉林,1,NULL,0,0,22.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5533,皇鼎,1,NULL,0,0,19.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5534,長虹,1,NULL,0,0,99,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5536,聖暉,2,NULL,0,0,116,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5538,F-東明,1,2014-02-07 00:00:00.000,0.124623557412161,0,0,NULL,NULL,NULL,NULL,NULL
5601,台聯櫃,2,NULL,0,0,27.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5603,陸海,2,NULL,0,0,9.44,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5604,中連貨,2,NULL,0,0,26,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5607,遠雄港,1,NULL,0,0,20.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5608,四維航,1,NULL,0,0,21.3,2013-09-13 00:00:00.000,2/11天量過買，航運股高股利必有行情,NULL,3.1;5.2,N
5609,中菲行,2,2013-04-11 00:00:00.000,0.0241938979815242,45,17.3,2013-09-13 00:00:00.000,突破大底,NULL,NULL,N
5701,劍湖山,2,2013-02-06 00:00:00.000,0.0556479275260064,9,4,2013-04-26 00:00:00.000,NULL,NULL,NULL,N
5703,亞都,2,NULL,0,0,25.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5704,老爺知,2,NULL,0,0,21,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5706,鳳凰,2,NULL,0,0,58.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5820,日盛金,2,NULL,0,0,8.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5854,合庫,1,NULL,0,0,18.45,2011-11-18 00:00:00.000,包括中國銀行、工商銀行、建設銀行、農業銀行等大陸四大國有商業銀行，已透過管道向合庫提議策略聯盟，進行台商融資平台的建立，,NULL,NULL,X
5871,F-中租,1,NULL,0,0,72.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5878,台名,2,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
5880,合庫金,1,NULL,0,0,16.25,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5902,德記,2,NULL,0,0,22.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5903,全家,2,NULL,0,0,145,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5904,寶雅,2,NULL,0,0,146.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5905,南仁湖,2,NULL,0,0,13.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5906,F-台南,1,NULL,0,0,8.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5907,F-大洋,1,NULL,0,0,64.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,NULL
6005,群益證,1,2013-03-13 00:00:00.000,0.0543794581438236,36,9.98,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6008,凱基證,2,NULL,0,0,14.1,2013-01-07 00:00:00.000,NULL,NULL,NULL,X
6012,金鼎證,1,NULL,0,0,11.85,2011-04-19 00:00:00.000,NULL,NULL,NULL,X
6015,宏遠證,2,2013-04-23 00:00:00.000,0.0409174014940981,59,9.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6016,康和證,2,NULL,0,0,7.61,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6020,大展證,2,NULL,0,0,17.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6021,大慶證,2,NULL,0,0,13.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6022,大眾證,2,NULL,0,0,8.86,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6023,寶來期,2,NULL,0,0,33.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6024,群益期,2,NULL,0,0,28.65,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6101,弘捷,2,NULL,0,0,12.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6103,合邦,2,NULL,0,0,2.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6104,創惟,2,NULL,0,0,16.45,2013-09-13 00:00:00.000,USB3.0,NULL,NULL,N
6105,瑞傳,2,NULL,0,0,26.6,2013-09-13 00:00:00.000,量縮拉回不破NL買進；但好像已經有點遠了。前幾天就已經追蹤到，沒有採取行動，悔之晚矣！,NULL,5.2,N
6107,華美,2,NULL,0,0,59.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6108,競國,1,NULL,0,0,17.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6109,亞元,2,NULL,0,0,10,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
6111,大宇資,2,NULL,0,0,8.89,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6112,聚碩,1,NULL,0,0,29.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6113,亞矽,2,NULL,0,0,8.88,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
6114,翔昇,2,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6115,鎰勝,1,NULL,0,0,42.55,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
6116,彩晶,1,NULL,0,0,12.15,2013-09-13 00:00:00.000,底部暴大量突破平台整理。強烈買進,NULL,NULL,N
6117,迎廣,1,NULL,0,0,14,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6118,建達,2,NULL,0,0,9.45,2013-09-13 00:00:00.000,NULL,NULL,3.1a,N
6119,大傳,1,NULL,0,0,18.95,2012-02-22 00:00:00.000,NULL,NULL,5.2,X
6120,輔祥,1,NULL,0,0,11.7,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6121,新普,2,NULL,0,0,138.5,2013-09-13 00:00:00.000,NULL,http://www.wretch.cc/blog/eagle99/11080021,5.1,N
6122,擎邦,2,NULL,0,0,12.5,2013-09-13 00:00:00.000,NULL,NULL,2.3;3.1,N
6123,上奇,2,NULL,0,0,31.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6124,業強,2,NULL,0,0,22.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6125,廣運,2,NULL,0,0,10.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6126,信音,2,NULL,0,0,15.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6127,九豪,2,NULL,0,0,9,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
6128,上福,1,NULL,0,0,30.35,2013-09-13 00:00:00.000,營收連二個創新高毛利率連六季走高,NULL,NULL,N
6129,普誠,2,2012-12-28 00:00:00.000,0.0341323460604767,36,8.22,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6130,基因,2,NULL,0,0,74.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6131,悠克,1,NULL,0,0,11.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6133,金橋,1,NULL,0,0,9.14,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6134,萬旭,2,NULL,0,0,9.25,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6135,佳營,2,NULL,0,0,21.8,2013-09-13 00:00:00.000,NULL,NULL,3.1;5.2,N
6136,富爾特,1,NULL,0,0,24.05,2013-09-13 00:00:00.000,NULL,NULL,2.3;5.2,N
6138,茂達,2,NULL,0,0,20.65,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6139,亞翔,1,NULL,0,0,27,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6140,訊達,2,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6141,柏承,1,2013-02-04 00:00:00.000,0.0220096628374776,30,10.25,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6142,友勁,1,NULL,0,0,8.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6143,振曜,2,NULL,0,0,79.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6144,得利影,2,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6145,勁永,1,NULL,0,0,20.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
6146,耕興,2,NULL,0,0,85.1,2013-09-13 00:00:00.000,NULL,NULL,4.2,N
6147,頎邦,2,NULL,0,0,65.6,2013-09-13 00:00:00.000,NULL,NULL,2.1;5.1,N
6148,驊宏資,2,NULL,0,0,6.68,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
6150,撼訊,2,NULL,0,0,12.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6151,晉倫,2,NULL,0,0,20.15,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
6152,百一,2,NULL,0,0,24.25,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6153,嘉聯益,1,NULL,0,0,29.75,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
6154,順發,2,NULL,0,0,22.6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6155,鈞寶,1,NULL,0,0,19.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6156,科橋,2,2013-04-09 00:00:00.000,0.0842525293339864,41,6.09,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6158,禾昌,2,2013-03-26 00:00:00.000,0.0356685236667355,43,13.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6160,欣技,2,NULL,0,0,21.35,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6161,捷波,2,NULL,0,0,8.49,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6163,華電網,2,2013-03-29 00:00:00.000,0.0469160819392325,58,17.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6164,華興,1,NULL,0,0,19.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6165,捷泰,1,NULL,0,0,7,2013-09-13 00:00:00.000,NULL,NULL,5.1a,N
6166,凌華,1,NULL,0,0,50.6,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
6167,久正,2,NULL,0,0,1.91,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6168,宏齊,1,NULL,0,0,10.8,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
6169,昱泉,2,NULL,0,0,22.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6170,統振,2,NULL,0,0,10.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6171,亞銳士,2,NULL,0,0,18.6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
6172,互億,1,NULL,0,0,8.56,2013-09-13 00:00:00.000,NULL,NULL,5.1a,N
6173,信昌電,2,NULL,0,0,10.75,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
6174,安碁,2,NULL,0,0,16.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
